InstructorID,FirstName,LastName,SupervisorID,InstructorStartDate,InstructorResignDate,Username,Password
4,Atif,Hamdy,1,13/06/2016,,mmcilwraith3,jpiborn3
5,Boulos,Barakat,7,18/08/2014,,zwessing4,mlinning4
6,Fahd,Moaaz,5,15/09/2015,,rpadbery5,gbroseman5
7,Nahla,Gomaa,16,04/09/2015,,zmatteuzzi6,smcintosh6
8,Aziza,Faiz,10,22/10/2014,,sdaguanno7,cdrewett7
9,Dareen,Azimullah,8,08/05/2014,,ltinklin8,amylchreest8
10,Ashraf,Nour,18,15/12/2014,,sdrewes9,thaly9
11,Salah,Faheem,9,03/10/2015,,aosullivana,aoggera
12,Alaa,Mohamed,13,29/03/2016,,fkenratb,lyeabsleyb
13,Aqeel,Salah,14,22/03/2016,,sarnisonc,sclymerc
14,Badr,David,17,19/02/2015,,sfearnleyd,bronaghand
15,Feyrouz,Saeed,20,13/10/2016,,jluciane,wstonehousee
16,Ashour,Darwish,2,14/07/2015,,aewensonf,rlampittf
17,Sabry,Sabry,1,17/01/2016,,bridolfig,ascamelg
18,Lana,Bilal,17,23/08/2016,,kgoulleeh,gpadillah
19,Afaf,Ziad,17,18/07/2016,,ebartosiki,jfishi
20,Aqeel,Bahaa,10,01/03/2014,,becclesj,hdominickj
21,Lana,Halim,2,07/11/2016,,cfearnk,dmaragesk
22,Asma,Othman,7,10/09/2015,,mstuchberryl,caronowl
23,Moaaz,Fahmi,4,07/08/2015,,bugolottim,pbarthrupm
24,Boutros,Helmy,2,08/06/2016,29/12/2022,jshillingn,cantonellin
25,Maya,Faisal,1,23/09/2015,,twreno,dmckirdyo
26,Asad,Burhan,4,04/01/2015,,etonepohlp,cgreggorp
27,Anas,Aziz,14,26/03/2015,13/11/2022,hwaleworkq,twelbrockq
28,Lamia,Abbas,5,16/03/2016,,csneadr,sleppingtonr
29,Aisha,Magdy,14,06/09/2015,05/09/2022,bclaytons,ecavaneys
30,Nafisa,Sabry,16,28/04/2016,,mbenget,hwimlett
31,Barkatullah,Basri,19,05/08/2016,21/09/2021,gworthingu,kpetrovskyu
32,Jamila,Magdy,11,04/11/2016,,amcphatev,jteapev
33,Hamdy,Zaki,19,18/03/2014,11/01/2020,kchalcraftw,lagatesw
34,Besma,Anwar,9,24/10/2016,,hgavaghanx,lrohlfingx
35,Hamida,Sabry,3,21/07/2016,,cewellsy,sbarttrumy
36,Ahmed,Ashour,14,22/11/2016,,crambautz,jdurningz
37,Nafisa,Aly,4,28/12/2016,,agiovanitti10,msheffield10
38,Maha,Abbas,6,14/11/2015,,rdafforne11,tgregorio11
39,Boutheina,Barkatullah,16,27/04/2014,,bkellard12,iyurevich12
40,Barkatullah,Islam,7,12/02/2016,10/10/2016,qcowley13,coris13
41,Ashour,Ramy,3,03/06/2016,,dmellon14,fpay14
42,Enaas,Farouk,19,07/05/2016,,zadamowitz15,ogever15
43,Ayad,Ayad,14,28/03/2015,,mcarcas16,vfeathersby16
44,Boutheina,Bashar,5,30/06/2016,,dgoldingay17,wmuskett17
45,Najat,Barkatullah,8,09/09/2016,,ccorsar18,elambeth18
46,Afaf,Fadel,19,15/06/2014,23/07/2022,mbillion19,dfinlaison19
