StudentID,TrackID,First Name,Last Name,DateOfBirth,MilitaryStatus,Gender,EnrollmentDate,GraduationDate,Graduate,MaritalStatus,RelatedFaculty,University,Username,Password
1,1,Farah,Gomaa,1996-01-29,,1,2017-01-01,2017-09-30,1,Unmarried,1,Menia University,kkopp0,rlaven0
2,1,Basri,Aziz,1998-12-06,Exempted,0,2022-01-01,2022-09-30,1,Divorced,1,Mansora University,kshaefer1,ktremouille1
3,1,Farah,Faisal,1998-09-08,,1,2022-01-01,2022-09-30,1,Unmarried,1,Mansora University,cagett2,phaste2
4,1,Amina,Hamdy,1997-08-14,,1,2022-01-01,2022-09-30,1,Married,1,Ain Shams University,dreadhead3,bhowman3
5,1,Nafisa,David,1995-10-27,,1,2023-01-01,2023-09-30,0,Unmarried,1,Ain Shams University,kmeindl4,sgrimshaw4
6,1,Burhan,Samer,1999-01-14,Completed,0,2023-01-01,2023-09-30,0,Unmarried,1,Mansora University,igarbett5,ahuey5
7,1,Julia,Basri,1998-10-08,,1,2018-01-01,2018-09-30,1,Married,1,Helwan University,ksergeant6,nnulty6
8,1,Faheem,Azizullah,1999-10-19,Completed,0,2022-01-01,2022-09-30,1,Divorced,0,Ain Shams University,awoodroff7,rlinklet7
9,1,Asil,Aly,1998-08-09,Exempted,0,2018-01-01,2018-09-30,1,Unmarried,1,Mansora University,gfounds8,janger8
10,1,Naila,Asil,1999-05-21,,1,2021-01-01,2021-09-30,1,Married,1,Ain Shams University,snoulton9,escranny9
11,1,Sara,Anwar,1998-10-01,,1,2018-01-01,2018-09-30,1,Unmarried,1,Menia University,ecostelowa,everrilloa
12,1,Lama,Boutros,1999-08-10,,1,2019-01-01,2019-09-30,1,Unmarried,1,Ain Shams University,csyrieb,mmcsporonb
13,1,Moaaz,Anis,1999-02-19,Completed,0,2018-01-01,2018-09-30,1,Unmarried,0,Helwan University,oomaileyc,mportigallc
14,1,Arwa,Saher,1999-06-08,,1,2021-01-01,2021-09-30,1,Divorced,1,Helwan University,qfargherd,dewingtond
15,1,Maysoon,Darwish,1996-12-28,,1,2022-01-01,2022-09-30,1,Unmarried,1,Alexandria University,jkindlee,cbarczewskie
16,1,Asadullah,Magdy,1998-08-03,Exempted,0,2023-01-01,2023-09-30,0,Divorced,0,Menia University,yraftf,asquelchf
17,1,Najat,Bashar,1995-11-11,,1,2022-01-01,2022-09-30,1,Unmarried,1,Mansora University,lgemellig,pfarmiloeg
18,1,Hend,Bilal,1996-08-11,,1,2019-01-01,2019-09-30,1,Divorced,1,Mansora University,dhaslockh,ebradfordh
